Processing window size 3...
Building nouns list from Inaugural corpus...
Word: prejudices, Uniqueness Value: 13
Word: divine, Uniqueness Value: 13
Word: loss, Uniqueness Value: 13
Word: abuses, Uniqueness Value: 13
Word: disposition, Uniqueness Value: 13
Word: firm, Uniqueness Value: 13
Word: globe, Uniqueness Value: 13
Word: reliance, Uniqueness Value: 13
Word: press, Uniqueness Value: 13
Word: road, Uniqueness Value: 13
Word: amount, Uniqueness Value: 13
Word: friend, Uniqueness Value: 13
Word: interference, Uniqueness Value: 13
Word: provisions, Uniqueness Value: 13
Word: sympathy, Uniqueness Value: 13
Word: thousands, Uniqueness Value: 13
Word: injury, Uniqueness Value: 13
Word: markets, Uniqueness Value: 13
Word: division, Uniqueness Value: 13
Word: stability, Uniqueness Value: 13
Word: language, Uniqueness Value: 13
Word: founders, Uniqueness Value: 13
Word: dedication, Uniqueness Value: 13
Word: field, Uniqueness Value: 13
Word: aggression, Uniqueness Value: 13
Word: bill, Uniqueness Value: 13
Word: employment, Uniqueness Value: 13
Word: restoration, Uniqueness Value: 13
Word: living, Uniqueness Value: 13
Word: threat, Uniqueness Value: 13
Word: soul, Uniqueness Value: 13
Word: tasks, Uniqueness Value: 13
Word: communism, Uniqueness Value: 13
Word: house, Uniqueness Value: 12
Word: proof, Uniqueness Value: 12
Word: heaven, Uniqueness Value: 12
Word: opportunities, Uniqueness Value: 12
Word: tranquillity, Uniqueness Value: 12
Word: execution, Uniqueness Value: 12
Word: armies, Uniqueness Value: 12
Word: ocean, Uniqueness Value: 12
Word: zeal, Uniqueness Value: 12
Word: formation, Uniqueness Value: 12
Word: combinations, Uniqueness Value: 12
Word: glory, Uniqueness Value: 12
Word: information, Uniqueness Value: 12
Word: ideas, Uniqueness Value: 12
Word: elections, Uniqueness Value: 12
Word: lot, Uniqueness Value: 12
Word: anxiety, Uniqueness Value: 12
Word: services, Uniqueness Value: 12
Word: points, Uniqueness Value: 12
Word: demand, Uniqueness Value: 12
Word: doubt, Uniqueness Value: 12
Word: ages, Uniqueness Value: 12
